WEO Country Group Code,WEO Subject Code,Country Group Name,Subject Descriptor,Subject Notes,Units,Scale,Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
1,PLAMB,World,"Lamb, frozen carcass Smithfield London, US cents per pound",,U.S. cents,Units,,131.166,124.977,108.649,87.884,87.702,83.558,92.571,98.447,109.456,105.313,121.143,104.875,115.422,124.117,125.667,113.242,145.461,150.281,116.012,115.819,112.854,130.248,146.043,159.813,165.764,160.92,153.605,161.709,170.724,146.943,145.689,149.153,101.313,105.845,136.401,104.487,91.348,108.524,115.702,115.842,119.813,117.403,
1,PPORK,World,"Swine (pork), 51-52% lean Hogs, U.S. price, US cents per pound",,U.S. cents,Units,,82.062,98.201,144.028,116.321,113.125,112.414,123.548,118.329,77.541,63.93,100.546,88.999,56.483,64.518,56.409,62.795,92.485,72.858,45.617,44.405,59.287,61.433,47.26,53.395,71.008,67.672,63.859,63.666,64.649,55.748,74.446,89.365,82.779,86.546,102.814,67.909,62.41,68.297,62.17,64.842,59.004,65.387,
1,PPOULT,World,"Poultry (chicken), Whole bird spot price, Georgia docks, US cents per pound",,U.S. cents,Units,,34.343,35.107,34.464,35.016,39.635,38.011,41.981,41.202,45.491,49.874,49.083,47.904,47.965,54.676,55.284,55.482,62.312,60.989,63.154,59.965,59.45,63.627,63.082,66.175,75.713,73.906,69.233,78.193,84.625,85.673,85.851,87.392,94.308,103.866,110.102,114.68,111.431,125.611,131.304,119.292,109.841,108.795,
1,PSEAFW,World,Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices,,"Index, 2016=100",,,95.29,86.922,88.154,81.358,72.432,74.743,85.066,98.288,93.008,74.119,74.956,71.488,75.977,71.133,73.582,73.986,64.775,66.708,65.966,62.184,63.945,57.097,53.12,56.616,58.242,63.956,74.196,68.797,73.212,71.014,84.255,86.402,74.053,96.188,101.793,83.03,100,104.897,103.171,94.739,85.957,85.813,
1,PSALM,World,"Fish (salmon), Farm Bred Norwegian Salmon, export price, US$ per kilogram",,U.S. dollars,Units,,7.982,7.249,6.637,5.803,5.254,5.582,6.476,8.059,7.302,5.377,5.902,5.363,5.901,5.01,5.012,4.776,4.111,3.726,3.719,3.569,3.646,2.891,2.937,2.993,3.343,4.063,5.062,4.545,4.848,4.923,6.143,5.957,4.745,6.716,6.6,5.306,7.139,7.444,7.524,6.921,5.84,5.817,
1,PSHRI,World,"Shrimp, Frozen shell-on headless, block 16/20 count, Indian origin, C&F Japan, US$ per kilogram",,U.S. dollars,Units,,5.637,5.211,6.797,6.954,6.006,5.858,6.408,6.183,6.536,6.145,5.233,5.552,5.475,6.217,6.791,7.386,6.614,7.887,7.727,7.148,7.403,7.381,6.343,7.052,6.695,6.523,6.831,6.648,7.049,6.372,6.92,7.822,7.468,8.53,10.099,8.403,8.535,9.047,8.469,7.753,7.965,7.978,
1,PSUGAW,World,"Commodity Sugar Index includes European, Free market, and U.S. Price Indices",,"Index, 2016=100",,,153.079,90.934,48.907,49.966,33.674,27.476,37.602,41.417,58.573,71.775,70.474,52.326,52.698,57.528,68.042,74.209,67.396,64.498,52.222,38.726,47.099,48.554,38.516,42.135,44.872,57.577,81.362,56.903,69.485,98.84,114.865,143.737,116.484,95.519,93.955,74.538,100,88.646,69.942,70.716,68.691,67.417,
1,PSUGAISA,World,"Sugar, Free Market, Coffee Sugar and Cocoa Exchange (CSCE) contract no.11 nearest future position, US cents per pound",,U.S. cents,Units,,28.669,16.893,8.406,8.465,5.203,4.054,6.052,6.757,10.194,12.806,12.511,8.976,9.07,10.021,12.11,13.278,11.955,11.402,8.918,6.265,8.08,8.232,6.237,6.926,7.545,10.07,14.788,9.957,12.452,18.15,20.891,26.236,21.375,17.709,17.127,13.215,18.144,15.835,12.251,12.35,11.904,11.633,
1,PSUGAUSA,World,"Sugar, U.S. import price, contract no.14 nearest futures position, US cents per pound",,U.S. cents,Units,,30.032,19.73,19.924,22.039,21.74,20.353,20.952,21.832,22.121,22.805,23.253,21.553,21.3,21.612,22.032,23.055,22.363,21.934,22.063,21.14,19.396,21.338,20.941,21.5,20.571,21.068,22.119,20.763,21.323,24.336,31.051,37.572,28.895,21.215,24.862,24.828,27.632,27.908,25.34,26.118,26.648,26.844,
1,PBANSOP,World,"Bananas, Central American and Ecuador, FOB U.S. Ports, US$ per metric tonne",,U.S. dollars,Units,,375.173,401.501,374.805,428.808,369.478,378.071,381.725,393.067,478.133,546.792,540.85,559.462,473.083,443.026,439.791,445.103,469.584,522.56,492.185,373.918,422.274,584.695,527.612,375.191,524.836,576.772,682.85,676.925,843.63,847.951,881.418,975.914,984.282,926.384,931.875,958.709,"1,002.43","1,074.23","1,147.75","1,142.46","1,186.97","1,187.85",
